src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.30.0.11,172.30.0.10,54856,8080,6,2026-05-07 13:34:45,0.00252,306746.0317460317,3571.428571428571,2380.9523809523807,1190.4761904761904,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.7712361663282534,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.00031499999999999996,0.001482,0.0,0.0005228886114651953,0.00252,0.001519,0.0,0.0005039999999999999,0.0006040155627134122,0.002452,0.001514,0.000938,0.001226,0.00028799999999999995,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.5,68.66666666666667,0,6,3,567,206
172.30.0.12,172.30.0.10,54026,8080,6,2026-05-07 13:34:48,0.006859,112552.85026971862,1312.1446274967197,874.7630849978132,437.3815424989066,6,3,566,206,220,66,94.33333333333333,56.313606013309276,74,66,68.66666666666667,3.7712361663282534,220,66,85.77777777777777,47.594999218586864,2265.283950617284,120,60,20,1,0.0008573750000000001,0.006601,0.0,0.002171172893708606,0.0068590000000000005,0.006628,0.0,0.0013718,0.0026284071526306574,0.006789,0.00663,0.000159,0.0033945,0.0032355,1,0,0,0,2,3,0,1,7,0,0,0.5,85.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.33333333333333,68.66666666666667,0,6,3,566,206
172.30.0.14,172.30.0.20,41615,1883,6,2026-05-07 13:34:49,0.000541,2073937.153419593,24029.574861367837,14787.430683918668,9242.144177449167,8,5,780,342,280,54,97.5,69.96248994997248,74,66,68.4,3.1999999999999997,280,54,86.3076923076923,56.71437833617831,3216.5207100591715,160,100,20,3,4.508333333333333e-05,0.000132,0.0,4.837950380986652e-05,0.000541,0.000164,0.0,7.728571428571429e-05,6.04689159479345e-05,0.00051,0.00018,5.9e-05,0.0001275,4.4410021391573324e-05,3,1,0,0,1,3,1,4,10,0,0,0.625,86.3076923076923,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.5,68.4,0,8,5,780,342
172.30.0.11,172.30.0.10,54868,8080,6,2026-05-07 13:34:49,0.003414,226127.7094317516,2636.2038664323377,1757.469244288225,878.7346221441124,6,3,566,206,220,66,94.33333333333333,56.313606013309276,74,66,68.66666666666667,3.7712361663282534,220,66,85.77777777777777,47.594999218586864,2265.283950617284,120,60,20,1,0.00042675000000000005,0.002325,0.0,0.0007855476990609799,0.003414,0.002346,0.0,0.0006828,0.0009123046421015297,0.003368,0.002346,0.001022,0.001684,0.000662,1,0,0,0,2,3,0,1,7,0,0,0.5,85.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.33333333333333,68.66666666666667,0,6,3,566,206
172.30.0.12,172.30.0.10,49576,8080,6,2026-05-07 13:34:53,0.001532,503916.4490861619,5874.67362924282,3916.44908616188,1958.22454308094,6,3,566,206,220,66,94.33333333333333,56.313606013309276,74,66,68.66666666666667,3.7712361663282534,220,66,85.77777777777777,47.594999218586864,2265.283950617284,120,60,20,1,0.0001915,0.000959,0.0,0.0003058210260920593,0.001532,0.000959,0.0,0.0003064,0.0003460107512780491,0.001315,0.001005,0.00031,0.0006575,0.0003475,1,0,0,0,2,3,0,1,7,0,0,0.5,85.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.33333333333333,68.66666666666667,0,6,3,566,206
172.30.0.14,172.30.0.20,50871,1883,6,2026-05-07 13:34:53,0.004255,219506.46298472385,2350.1762632197415,1645.123384253819,705.0528789659224,7,3,724,210,280,66,103.42857142857143,72.84201523621837,74,66,70.0,3.265986323710904,280,66,93.4,62.86525272358332,3952.04,140,60,20,2,0.0004727777777777778,0.002222,0.0,0.000715041999975103,0.004255,0.002222,0.0,0.0007091666666666666,0.0007797402167103833,0.0012300000000000002,0.001043,0.000187,0.0006150000000000001,0.00042800000000000005,2,1,0,0,0,3,1,3,8,0,0,0.42857142857142855,93.4,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.42857142857143,70.0,0,7,3,724,210
172.30.0.11,172.30.0.10,43262,8080,6,2026-05-07 13:34:53,0.00098,788775.5102040817,9183.673469387755,6122.448979591837,3061.2244897959185,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.7712361663282534,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.0001225,0.000489,0.0,0.000196254299315964,0.00098,0.000501,0.0,0.000196,0.00022284613525928602,0.0009519999999999999,0.000502,0.00045,0.00047599999999999997,2.599999999999998e-05,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.5,68.66666666666667,0,6,3,567,206
172.30.0.11,172.30.0.10,43272,8080,6,2026-05-07 13:34:57,0.00168,460119.0476190476,5357.142857142857,3571.428571428571,1785.7142857142856,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.7712361663282534,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.00020999999999999998,0.001393,0.0,0.0004494730247745686,0.0016799999999999999,0.001429,0.0,0.000336,0.0005498439778700864,0.001622,0.001406,0.000216,0.000811,0.0005949999999999999,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.5,68.66666666666667,0,6,3,567,206
172.30.0.12,172.30.0.10,49586,8080,6,2026-05-07 13:34:57,0.002779,278157.61065131344,3238.5750269881255,2159.0500179920837,1079.5250089960418,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.7712361663282534,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.000347375,0.002303,0.0,0.0007470177269482967,0.0027790000000000002,0.002328,0.0,0.0005558000000000001,0.00089479257931657,0.0027240000000000003,0.002321,0.000403,0.0013620000000000001,0.0009590000000000001,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.5,68.66666666666667,0,6,3,567,206
172.30.0.14,172.30.0.20,54313,1883,6,2026-05-07 13:35:00,0.00104,899038.4615384616,9615.384615384617,6730.769230769231,2884.6153846153848,7,3,725,210,281,66,103.57142857142857,73.18832292275113,74,66,70.0,3.265986323710904,281,66,93.5,63.162093062215725,3989.45,140,60,20,2,0.00011555555555555557,0.000466,0.0,0.0001613037928266007,0.00104,0.000466,0.0,0.0001733333333333333,0.00017234622775744824,0.000586,0.000485,0.000101,0.000293,0.000192,2,1,0,0,0,3,1,3,8,0,0,0.42857142857142855,93.5,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.57142857142857,70.0,0,7,3,725,210
