fwd_seg_size_avg,pkt_len_std,pkt_len_max,fwd_pkt_len_std,subflow_fwd_byts,pkt_len_var,pkt_size_avg,totlen_fwd_pkts,pkt_len_mean,fwd_pkt_len_mean,capture_id,Label,Attack_Type
87.0,33.82452904967191,176,39.96248240537617,522,1144.0987654320988,80.88888888888889,522,80.88888888888889,87.0,bruteforce_03,1,bruteforce
88.16666666666667,36.01234356285202,183,42.56139356532187,529,1296.888888888889,81.66666666666667,529,81.66666666666667,88.16666666666667,bruteforce_03,1,bruteforce
87.16666666666667,34.136978971978955,177,40.33367768448044,523,1165.3333333333333,81.0,523,81.0,87.16666666666667,bruteforce_03,1,bruteforce
87.0,33.82452904967191,176,39.96248240537617,522,1144.0987654320988,80.88888888888889,522,80.88888888888889,87.0,bruteforce_03,1,bruteforce
87.16666666666667,34.136978971978955,177,40.33367768448044,523,1165.3333333333333,81.0,523,81.0,87.16666666666667,bruteforce_03,1,bruteforce
87.0,33.82452904967191,176,39.96248240537617,522,1144.0987654320988,80.88888888888889,522,80.88888888888889,87.0,bruteforce_03,1,bruteforce
86.66666666666667,33.19973226130328,174,39.22017621355394,520,1102.2222222222222,80.66666666666667,520,80.66666666666667,86.66666666666667,bruteforce_03,1,bruteforce
87.83333333333333,35.38710094907814,181,41.81872254810703,527,1252.246913580247,81.44444444444444,527,81.44444444444444,87.83333333333333,bruteforce_03,1,bruteforce
87.66666666666667,35.07452383457575,180,41.44742318756244,526,1230.2222222222222,81.33333333333333,526,81.33333333333333,87.66666666666667,bruteforce_03,1,bruteforce
87.33333333333333,34.44946200013529,178,40.70490005993,524,1186.7654320987654,81.11111111111111,524,81.11111111111111,87.33333333333333,bruteforce_03,1,bruteforce
86.83333333333333,33.51211315920054,175,39.59131498475673,521,1123.061728395062,80.77777777777777,521,80.77777777777777,86.83333333333333,bruteforce_03,1,bruteforce
87.16666666666667,34.136978971978955,177,40.33367768448044,523,1165.3333333333333,81.0,523,81.0,87.16666666666667,bruteforce_03,1,bruteforce
86.66666666666667,33.19973226130328,174,39.22017621355394,520,1102.2222222222222,80.66666666666667,520,80.66666666666667,86.66666666666667,bruteforce_03,1,bruteforce
87.5,34.76197724135373,179,41.07614879708174,525,1208.395061728395,81.22222222222223,525,81.22222222222223,87.5,bruteforce_03,1,bruteforce
87.33333333333333,34.44946200013529,178,40.70490005993,524,1186.7654320987654,81.11111111111111,524,81.11111111111111,87.33333333333333,bruteforce_03,1,bruteforce
87.66666666666667,35.07452383457575,180,41.44742318756244,526,1230.2222222222222,81.33333333333333,526,81.33333333333333,87.66666666666667,bruteforce_03,1,bruteforce
