src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,Label,Attack_Type,capture_id,usage,source_csv
172.30.0.200,172.30.0.10,44380,8080,6,2026-05-06 00:05:43,42.657253,47.04944315096896,0.5860668055676254,0.3281974111178701,0.2578693944497551,14,11,1273,734,199,66,90.92857142857144,31.75455937052704,74,66,66.72727272727273,2.299838298304276,199,66,80.28,26.67061304132321,711.3215999999999,280,220,20,9,1.7773855416666666,27.018226,0.0,5.342132142016183,42.657253,27.018275,0.0,3.2813271538461537,6.910281742256989,42.656992,27.018688,0.00073,4.2656992,7.60794869896146,9,0,0,0,2,3,0,9,23,0,0,0.7857142857142857,80.28,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.92857142857144,66.72727272727273,0,14,11,1273,734,1,slow_dos,slow_dos_01,train,slow_dos_01.csv
172.30.0.200,172.30.0.10,44386,8080,6,2026-05-06 00:05:43,42.617706,47.09310257102999,0.5866106448807921,0.3285019611332435,0.2581086837475485,14,11,1273,734,199,66,90.92857142857144,31.75455937052704,74,66,66.72727272727273,2.299838298304276,199,66,80.28,26.67061304132321,711.3215999999999,280,220,20,9,1.77573775,27.019738,0.0,5.34240137051233,42.617706,27.019799,0.0,3.2782850769230767,6.911317654919573,42.617665,27.031585,0.000156,4.2617665,7.613708742698978,9,0,0,0,2,3,0,9,23,0,0,0.7857142857142857,80.28,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.92857142857144,66.72727272727273,0,14,11,1273,734,1,slow_dos,slow_dos_01,train,slow_dos_01.csv
172.30.0.200,172.30.0.10,44388,8080,6,2026-05-06 00:05:43,42.56344,47.15314363688649,0.5873585405690893,0.32892078271869,0.2584377578503993,14,11,1273,734,199,66,90.92857142857144,31.75455937052704,74,66,66.72727272727273,2.299838298304276,199,66,80.28,26.67061304132321,711.3215999999999,280,220,20,9,1.7734766666666666,27.019706,0.0,5.342554151250517,42.56344,27.019738,0.0,3.274110769230769,6.912422426707811,42.563402,27.02984,0.00023,4.2563402,7.6151144519561855,9,0,0,0,2,3,0,9,23,0,0,0.7857142857142857,80.28,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.92857142857144,66.72727272727273,0,14,11,1273,734,1,slow_dos,slow_dos_01,train,slow_dos_01.csv
172.30.0.200,172.30.0.10,44402,8080,6,2026-05-06 00:05:43,42.515803,47.20597656358508,0.5880166487741041,0.3292893233134983,0.2587273254606058,14,11,1273,734,199,66,90.92857142857144,31.75455937052704,74,66,66.72727272727273,2.299838298304276,199,66,80.28,26.67061304132321,711.3215999999999,280,220,20,9,1.7714917916666664,27.017936,0.0,5.342309583959428,42.515803,27.018178,0.0,3.2704463846153846,6.912925462364892,42.515747,27.031143,0.000297,4.251574700000001,7.617343736982428,9,0,0,0,2,3,0,9,23,0,0,0.7857142857142857,80.28,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.92857142857144,66.72727272727273,0,14,11,1273,734,1,slow_dos,slow_dos_01,train,slow_dos_01.csv
172.30.0.200,172.30.0.10,44412,8080,6,2026-05-06 00:05:43,42.456465,47.27195257542049,0.5888384725388701,0.3297495446217672,0.2590889279171028,14,11,1273,734,199,66,90.92857142857144,31.75455937052704,74,66,66.72727272727273,2.299838298304276,199,66,80.28,26.67061304132321,711.3215999999999,280,220,20,9,1.7690193749999998,27.01794,0.0,5.342520812790702,42.456465,27.01796,0.0,3.2658819230769227,6.914173819498904,42.456409,27.028165,0.000117,4.2456409,7.618595801948881,9,0,0,0,2,3,0,9,23,0,0,0.7857142857142857,80.28,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.92857142857144,66.72727272727273,0,14,11,1273,734,1,slow_dos,slow_dos_01,train,slow_dos_01.csv
172.30.0.200,172.30.0.10,44426,8080,6,2026-05-06 00:05:43,42.407616,47.32640476654005,0.5895167509534137,0.3301293805339116,0.259387370419502,14,11,1273,734,199,66,90.92857142857144,31.75455937052704,74,66,66.72727272727273,2.299838298304276,199,66,80.28,26.67061304132321,711.3215999999999,280,220,20,9,1.766984,27.017853,0.0,5.342660151771057,42.407616,27.017888,0.0,3.262124307692308,6.915189879232589,42.407563,27.029931,0.00029,4.2407563,7.621073942023355,9,0,0,0,2,3,0,9,23,0,0,0.7857142857142857,80.28,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.92857142857144,66.72727272727273,0,14,11,1273,734,1,slow_dos,slow_dos_01,train,slow_dos_01.csv
172.30.0.200,172.30.0.10,44432,8080,6,2026-05-06 00:05:43,42.358248,47.3815630901448,0.5902038252384754,0.3305141421335462,0.2596896831049292,14,11,1273,734,199,66,90.92857142857144,31.75455937052704,74,66,66.72727272727273,2.299838298304276,199,66,80.28,26.67061304132321,711.3215999999999,280,220,20,9,1.764927,27.016128,0.0,5.342497941721464,42.358248,27.016435,0.0,3.258326769230769,6.915861636370757,42.358199,27.030081,5.1e-05,4.2358199,7.623074830165154,9,0,0,0,2,3,0,9,23,0,0,0.7857142857142857,80.28,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.92857142857144,66.72727272727273,0,14,11,1273,734,1,slow_dos,slow_dos_01,train,slow_dos_01.csv
172.30.0.200,172.30.0.10,44438,8080,6,2026-05-06 00:05:43,42.308618,47.43714389347343,0.5908961621010641,0.3309018507765959,0.2599943113244682,14,11,1273,734,199,66,90.92857142857144,31.75455937052704,74,66,66.72727272727273,2.299838298304276,199,66,80.28,26.67061304132321,711.3215999999999,280,220,20,9,1.7628590833333335,27.016051,0.0,5.342712521045107,42.308618,27.016071,0.0,3.2545090769230773,6.916884607513086,42.30857,27.030647,0.000137,4.230856999999999,7.625238991706318,9,0,0,0,2,3,0,9,23,0,0,0.7857142857142857,80.28,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.92857142857144,66.72727272727273,0,14,11,1273,734,1,slow_dos,slow_dos_01,train,slow_dos_01.csv
172.30.0.200,172.30.0.10,44442,8080,6,2026-05-06 00:05:43,42.258378,47.493540807458345,0.5915986647665464,0.331295252269266,0.2603034124972804,14,11,1273,734,199,66,90.92857142857144,31.75455937052704,74,66,66.72727272727273,2.299838298304276,199,66,80.28,26.67061304132321,711.3215999999999,280,220,20,9,1.7607657499999998,27.015755,0.0,5.342880495744439,42.258378,27.016009,0.0,3.250644461538461,6.918038358171647,42.258335,27.030521,0.000145,4.2258335,7.627225557457656,9,0,0,0,2,3,0,9,23,0,0,0.7857142857142857,80.28,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.92857142857144,66.72727272727273,0,14,11,1273,734,1,slow_dos,slow_dos_01,train,slow_dos_01.csv
172.30.0.200,172.30.0.10,44444,8080,6,2026-05-06 00:05:43,42.205307,47.5532614891298,0.5923425696204508,0.3317118389874525,0.2606307306329983,14,11,1273,734,199,66,90.92857142857144,31.75455937052704,74,66,66.72727272727273,2.299838298304276,199,66,80.28,26.67061304132321,711.3215999999999,280,220,20,9,1.7585544583333337,27.015612,0.0,5.343155699644968,42.205307,27.015634,0.0,3.2465620769230767,6.919225820994732,42.205267,27.027732,0.000471,4.2205267,7.628442385894267,9,0,0,0,2,3,0,9,23,0,0,0.7857142857142857,80.28,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.92857142857144,66.72727272727273,0,14,11,1273,734,1,slow_dos,slow_dos_01,train,slow_dos_01.csv
