src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,Label,Attack_Type,capture_id,usage,source_csv
172.30.0.11,172.30.0.10,56804,8080,6,2026-05-06 18:00:59,0.000629,1228934.8171701112,14308.426073131955,9538.950715421304,4769.475357710652,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.771236166328253,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,7.862500000000001e-05,0.000532,0.0,0.0001718254474022,0.000629,0.000547,0.0,0.0001258,0.0002111240393702,0.000597,0.00054,5.7e-05,0.0002985,0.0002415,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,94.5,68.66666666666667,0,6,3,567,206,0,benign,benign_13,blind,benign_13.csv
172.30.0.12,172.30.0.10,56296,8080,6,2026-05-06 18:01:02,0.000892,865470.8520179372,10089.686098654707,6726.457399103139,3363.2286995515697,6,3,566,206,220,66,94.33333333333331,56.31360601330928,74,66,68.66666666666667,3.771236166328253,220,66,85.77777777777777,47.594999218586864,2265.283950617284,120,60,20,1,0.0001115,0.00071,0.0,0.0002297215706023,0.000892,0.000722,0.0,0.0001784,0.0002756451341852,0.0008629999999999,0.000721,0.000142,0.0004314999999999,0.0002894999999999,1,0,0,0,2,3,0,1,7,0,0,0.5,85.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,94.33333333333331,68.66666666666667,0,6,3,566,206,0,benign,benign_13,blind,benign_13.csv
172.30.0.14,172.30.0.20,36589,1883,6,2026-05-06 18:01:02,0.01144,98164.33566433564,1136.3636363636365,699.3006993006993,437.06293706293707,8,5,781,342,281,54,97.625,70.28857926434422,74,66,68.4,3.2,281,54,86.38461538461539,56.97710533665588,3246.39053254438,160,100,20,3,0.0009533333333333,0.011285,0.0,0.00311514877476,0.01144,0.011299,0.0,0.0016342857142857,0.0039456345393823,0.011411,0.011295,1.5e-05,0.00285275,0.0048741571771435,3,1,0,0,1,3,1,4,10,0,0,0.625,86.38461538461539,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,97.625,68.4,0,8,5,781,342,0,benign,benign_13,blind,benign_13.csv
172.30.0.11,172.30.0.10,36776,8080,6,2026-05-06 18:01:03,0.009089,85047.86005061063,990.2079436681704,660.1386291121136,330.0693145560568,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.771236166328253,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.001136125,0.008993,0.0,0.0029696472617762,0.009089,0.009009,0.0,0.0018178,0.0035956300922091,0.009056,0.009002,5.4e-05,0.004528,0.004474,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,94.5,68.66666666666667,0,6,3,567,206,0,benign,benign_13,blind,benign_13.csv
172.30.0.14,172.30.0.20,44173,1883,6,2026-05-06 18:01:06,0.008496,132179.8493408663,1530.1318267419963,941.6195856873824,588.5122410546139,8,5,781,342,281,54,97.625,70.28857926434422,74,66,68.4,3.2,281,54,86.38461538461539,56.97710533665588,3246.39053254438,160,100,20,3,0.000708,0.008341,0.0,0.0023014811535183,0.008496,0.008355,0.0,0.0012137142857142,0.0029154608415081,0.008466,0.008351,1.4e-05,0.0021165,0.0035995219474257,3,1,0,0,1,3,1,4,10,0,0,0.625,86.38461538461539,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,97.625,68.4,0,8,5,781,342,0,benign,benign_13,blind,benign_13.csv
172.30.0.12,172.30.0.10,56298,8080,6,2026-05-06 18:01:07,0.001009,764122.8939544103,8919.7224975223,5946.481665014867,2973.2408325074334,6,3,565,206,219,66,94.16666666666669,55.94168590793651,74,66,68.66666666666667,3.771236166328253,219,66,85.66666666666667,47.28166193732572,2235.555555555555,120,60,20,1,0.000126125,0.000826,0.0,0.0002676982618079,0.001009,0.000838,0.0,0.0002017999999999,0.0003215931591312,0.00098,0.000835,0.000145,0.00049,0.000345,1,0,0,0,2,3,0,1,7,0,0,0.5,85.66666666666667,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,94.16666666666669,68.66666666666667,0,6,3,565,206,0,benign,benign_13,blind,benign_13.csv
172.30.0.11,172.30.0.10,36778,8080,6,2026-05-06 18:01:08,0.002431,317564.78815302346,3702.180172768408,2468.1201151789387,1234.0600575894694,6,3,566,206,220,66,94.33333333333331,56.31360601330928,74,66,68.66666666666667,3.771236166328253,220,66,85.77777777777777,47.594999218586864,2265.283950617284,120,60,20,1,0.000303875,0.00234,0.0,0.0007696779257423,0.002431,0.002354,0.0,0.0004862,0.0009340047965615,0.002401,0.002348,5.3e-05,0.0012005,0.0011474999999999,1,0,0,0,2,3,0,1,7,0,0,0.5,85.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,94.33333333333331,68.66666666666667,0,6,3,566,206,0,benign,benign_13,blind,benign_13.csv
172.30.0.12,172.30.0.10,56308,8080,6,2026-05-06 18:01:11,0.007176,107720.17837235228,1254.180602006689,836.1204013377926,418.0602006688963,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.771236166328253,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.000897,0.002556,0.0,0.0009554126072017,0.007176,0.002999,0.0,0.0014352,0.0012473272866413,0.005323,0.004139,0.001184,0.0026615,0.0014775,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,94.5,68.66666666666667,0,6,3,567,206,0,benign,benign_13,blind,benign_13.csv
172.30.0.11,172.30.0.10,54488,8080,6,2026-05-06 18:01:13,0.000663,1165912.5188536954,13574.660633484164,9049.77375565611,4524.886877828055,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.771236166328253,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,8.2875e-05,0.000571,0.0,0.0001848867474293,0.000663,0.000585,0.0,0.0001326,0.000226625329564,0.000633,0.00058,5.3e-05,0.0003165,0.0002635,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,94.5,68.66666666666667,0,6,3,567,206,0,benign,benign_13,blind,benign_13.csv
172.30.0.14,172.30.0.20,52913,1883,6,2026-05-06 18:01:14,0.003452,325318.65585168015,3765.932792584009,2317.497103128621,1448.435689455388,8,5,781,342,281,54,97.625,70.28857926434422,74,66,68.4,3.2,281,54,86.38461538461539,56.97710533665588,3246.39053254438,160,100,20,3,0.0002876666666666,0.003262,0.0,0.000897057442729,0.0034519999999999,0.003276,0.0,0.0004931428571428,0.0011363713463189,0.003423,0.003273,1.6e-05,0.00085575,0.0013957955392893,3,1,0,0,1,3,1,4,10,0,0,0.625,86.38461538461539,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,97.625,68.4,0,8,5,781,342,0,benign,benign_13,blind,benign_13.csv
