src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,Label,Attack_Type,capture_id,usage,source_csv
172.30.0.200,172.30.0.10,47916,8080,6,2026-05-06 00:20:08,0.011481,365037.88868565456,1480.7072554655515,871.0042679209129,609.702987544639,10,7,3721,470,675,66,372.1,302.9126771860168,74,66,67.14285714285714,2.79941684889506,675,66,246.52941176470588,276.5918882837309,76503.07266435988,200,140,20,5,0.0007175625,0.002772,0.0,0.0009009517862204,0.011481,0.002885,0.0,0.0012756666666666,0.0010351506599953,0.011289,0.002864,0.000519,0.0018814999999999,0.0007417687757425,5,0,0,0,2,3,0,5,15,0,0,0.7,246.52941176470588,64240,65160,0,0,0,0,0,0,0,0,3045.0,5.0,0,0,338070.3896969024,0,372.1,67.14285714285714,0,10,7,3721,470,1,dos_flood,flood_01,train,flood_01.csv
172.30.0.200,172.30.0.10,47932,8080,6,2026-05-06 00:20:08,0.011538,363234.5293811752,1473.3922690240945,866.7013347200555,606.6909343040388,10,7,3721,470,675,66,372.1,302.9126771860168,74,66,67.14285714285714,2.79941684889506,675,66,246.52941176470588,276.5918882837309,76503.07266435988,200,140,20,5,0.000721125,0.003044,0.0,0.0009765299454573,0.011538,0.003068,0.0,0.001282,0.0010116017002753,0.011497,0.003069,0.001126,0.0019161666666666,0.0006219634010311,5,0,0,0,2,3,0,5,15,0,0,0.7,246.52941176470588,64240,65160,0,0,0,0,0,0,0,0,3045.0,5.0,0,0,370798.830979055,0,372.1,67.14285714285714,0,10,7,3721,470,1,dos_flood,flood_01,train,flood_01.csv
172.30.0.200,172.30.0.10,47942,8080,6,2026-05-06 00:20:08,0.00979,428089.8876404495,1736.4657814096015,1021.4504596527069,715.0153217568948,10,7,3721,470,675,66,372.1,302.9126771860168,74,66,67.14285714285714,2.79941684889506,675,66,246.52941176470588,276.5918882837309,76503.07266435988,200,140,20,5,0.000611875,0.002044,0.0,0.0007305455902098,0.00979,0.002118,0.0,0.0010877777777777,0.0007914214747006,0.009746,0.002135,0.00083,0.0016243333333333,0.0004017435611044,5,0,0,0,2,3,0,5,15,0,0,0.7,246.52941176470588,64240,65160,0,0,0,0,0,0,0,0,3045.0,5.0,0,0,410543.3463664554,0,372.1,67.14285714285714,0,10,7,3721,470,1,dos_flood,flood_01,train,flood_01.csv
172.30.0.200,172.30.0.10,47950,8080,6,2026-05-06 00:20:08,0.009799,427696.7037452801,1734.8709051944074,1020.5122971731809,714.3586080212266,10,7,3721,470,675,66,372.1,302.9126771860168,74,66,67.14285714285714,2.79941684889506,675,66,246.52941176470588,276.5918882837309,76503.07266435988,200,140,20,5,0.0006124374999999,0.002308,0.0,0.0007095635074422,0.009799,0.002557,0.0,0.0010887777777777,0.000816283417254,0.009758,0.002401,0.001114,0.0016263333333333,0.0004007757754932,5,0,0,0,2,3,0,5,15,0,0,0.7,246.52941176470588,64240,65160,0,0,0,0,0,0,0,0,3045.0,5.0,0,0,419248.2445270549,0,372.1,67.14285714285714,0,10,7,3721,470,1,dos_flood,flood_01,train,flood_01.csv
172.30.0.200,172.30.0.10,47962,8080,6,2026-05-06 00:20:08,0.00816,513602.94117647054,2083.333333333333,1225.4901960784314,857.8431372549019,10,7,3721,470,675,66,372.1,302.9126771860168,74,66,67.14285714285714,2.79941684889506,675,66,246.52941176470588,276.5918882837309,76503.07266435988,200,140,20,5,0.00051,0.001625,0.0,0.0006136651163297,0.00816,0.001722,0.0,0.0009066666666666,0.0006484045376494,0.008042,0.001718,0.000516,0.0013403333333333,0.0003827935329768,5,0,0,0,2,3,0,5,15,0,0,0.7,246.52941176470588,64240,65160,0,0,0,0,0,0,0,0,3045.0,5.0,0,0,510991.77714381606,0,372.1,67.14285714285714,0,10,7,3721,470,1,dos_flood,flood_01,train,flood_01.csv
172.30.0.200,172.30.0.10,47968,8080,6,2026-05-06 00:20:08,0.01048,399904.5801526718,1622.1374045801526,954.1984732824428,667.9389312977099,10,7,3721,470,675,66,372.1,302.9126771860168,74,66,67.14285714285714,2.79941684889506,675,66,246.52941176470588,276.5918882837309,76503.07266435988,200,140,20,5,0.000655,0.002869,0.0,0.0008211793348593,0.01048,0.00312,0.0,0.0011644444444444,0.0009551588711496,0.010439,0.002946,0.000824,0.0017398333333333,0.000633055662815,5,0,0,0,2,3,0,5,15,0,0,0.7,246.52941176470588,64240,65160,0,0,0,0,0,0,0,0,3045.0,5.0,0,0,376344.08602150535,0,372.1,67.14285714285714,0,10,7,3721,470,1,dos_flood,flood_01,train,flood_01.csv
172.30.0.200,172.30.0.10,47974,8080,6,2026-05-06 00:20:08,0.013176,318078.3242258652,1290.2246508803885,758.9556769884639,531.2689738919247,10,7,3721,470,675,66,372.1,302.9126771860168,74,66,67.14285714285714,2.79941684889506,675,66,246.52941176470588,276.5918882837309,76503.07266435988,200,140,20,5,0.0008235,0.004169,0.0,0.0011731201451684,0.013176,0.004253,0.0,0.001464,0.0013244704602217,0.013139,0.004263,0.000825,0.0021898333333333,0.0010907658497078,5,0,0,0,2,3,0,5,15,0,0,0.7,246.52941176470588,64240,65160,0,0,0,0,0,0,0,0,3045.0,5.0,0,0,284819.0066411,0,372.1,67.14285714285714,0,10,7,3721,470,1,dos_flood,flood_01,train,flood_01.csv
172.30.0.200,172.30.0.10,47988,8080,6,2026-05-06 00:20:08,0.016666,251470.05880235208,1020.0408016320652,600.0240009600384,420.0168006720269,10,7,3721,470,675,66,372.1,302.9126771860168,74,66,67.14285714285714,2.79941684889506,675,66,246.52941176470588,276.5918882837309,76503.07266435988,200,140,20,5,0.001041625,0.005098,0.0,0.001524083982061,0.016666,0.005219,0.0,0.0018517777777777,0.0017179580112433,0.01662,0.005181,0.000985,0.00277,0.0013912713610219,5,0,0,0,2,3,0,5,15,0,0,0.7,246.52941176470588,64240,65160,0,0,0,0,0,0,0,0,3045.0,5.0,0,0,230769.2307692308,0,372.1,67.14285714285714,0,10,7,3721,470,1,dos_flood,flood_01,train,flood_01.csv
172.30.0.200,172.30.0.10,48004,8080,6,2026-05-06 00:20:08,0.010982,381624.47641595337,1547.9876160990711,910.5809506465124,637.4066654525587,10,7,3721,470,675,66,372.1,302.9126771860168,74,66,67.14285714285714,2.79941684889506,675,66,246.52941176470588,276.5918882837309,76503.07266435988,200,140,20,5,0.000686375,0.003442,0.0,0.0009265890320821,0.010982,0.003709,0.0,0.0012202222222222,0.0011332848791384,0.010944,0.003689,0.000728,0.0018239999999999,0.0009053187284045,5,0,0,0,2,3,0,5,15,0,0,0.7,246.52941176470588,64240,65160,0,0,0,0,0,0,0,0,3045.0,5.0,0,0,342905.4054054054,0,372.1,67.14285714285714,0,10,7,3721,470,1,dos_flood,flood_01,train,flood_01.csv
172.30.0.200,172.30.0.10,48018,8080,6,2026-05-06 00:20:08,0.014367,291710.16913760704,1183.267209577504,696.0395350455906,487.2276745319134,10,7,3721,470,675,66,372.1,302.9126771860168,74,66,67.14285714285714,2.79941684889506,675,66,246.52941176470588,276.5918882837309,76503.07266435988,200,140,20,5,0.0008979374999999,0.003913,0.0,0.0011476337323352,0.014367,0.00453,0.0,0.0015963333333333,0.0014359021167506,0.014293,0.004071,0.00032,0.0023821666666666,0.0011028459270854,5,0,0,0,2,3,0,5,15,0,0,0.7,246.52941176470588,64240,65160,0,0,0,0,0,0,0,0,3045.0,5.0,0,0,264277.03523693804,0,372.1,67.14285714285714,0,10,7,3721,470,1,dos_flood,flood_01,train,flood_01.csv
