src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,Label,Attack_Type,capture_id,usage,source_csv
172.30.0.12,172.30.0.10,41298,8080,6,2026-05-03 18:20:07,0.0009,858888.8888888889,10000.0,6666.666666666667,3333.333333333333,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.771236166328253,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.0001125,0.000739,0.0,0.0002377693209814,0.0009,0.000762,0.0,0.0001799999999999,0.0002920321900065,0.0008539999999999,0.000757,9.7e-05,0.0004269999999999,0.00033,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.5,68.66666666666667,0,6,3,567,206,0,benign,benign_02,train,benign_02.csv
172.30.0.11,172.30.0.10,34214,8080,6,2026-05-03 18:20:09,0.001789,432084.963666853,5030.743432084963,3353.828954723309,1676.9144773616545,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.771236166328253,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.0002236249999999,0.001537,0.0,0.0004973851469183,0.001789,0.001587,0.0,0.0003578,0.0006156110460347,0.0017,0.001562,0.000138,0.00085,0.000712,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.5,68.66666666666667,0,6,3,567,206,0,benign,benign_02,train,benign_02.csv
172.30.0.12,172.30.0.10,41312,8080,6,2026-05-03 18:20:12,0.001235,625910.9311740891,7287.44939271255,4858.299595141701,2429.1497975708503,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.771236166328253,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.000154375,0.000548,0.0,0.0002215767008848,0.001235,0.000613,0.0,0.000247,0.0002734103143628,0.000688,0.000574,0.000114,0.000344,0.0002299999999999,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.5,68.66666666666667,0,6,3,567,206,0,benign,benign_02,train,benign_02.csv
172.30.0.11,172.30.0.10,34218,8080,6,2026-05-03 18:20:13,0.000766,1009138.3812010444,11749.34725848564,7832.89817232376,3916.44908616188,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.771236166328253,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,9.575e-05,0.000534,0.0,0.0001720804680955,0.000766,0.000556,0.0,0.0001531999999999,0.0002083750464906,0.0007239999999999,0.000551,0.000173,0.0003619999999999,0.0001889999999999,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.5,68.66666666666667,0,6,3,567,206,0,benign,benign_02,train,benign_02.csv
172.30.0.11,172.30.0.10,57274,8080,6,2026-05-03 18:20:16,0.001681,459250.4461629982,5353.955978584176,3569.303985722784,1784.651992861392,6,3,566,206,220,66,94.33333333333331,56.31360601330928,74,66,68.66666666666667,3.771236166328253,220,66,85.77777777777777,47.594999218586864,2265.283950617284,120,60,20,1,0.000210125,0.001207,0.0,0.0003924364399173,0.001681,0.001234,0.0,0.0003362,0.0004663150866099,0.001625,0.001239,0.000386,0.0008125,0.0004265,1,0,0,0,2,3,0,1,7,0,0,0.5,85.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.33333333333331,68.66666666666667,0,6,3,566,206,0,benign,benign_02,train,benign_02.csv
172.30.0.12,172.30.0.10,57084,8080,6,2026-05-03 18:20:17,0.001067,724461.1059044049,8434.864104967197,5623.242736644798,2811.621368322399,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.771236166328253,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.000133375,0.000477,0.0,0.000178230845745,0.001067,0.000477,0.0,0.0002133999999999,0.0001950288183833,0.000919,0.000506,0.000413,0.0004595,4.650000000000002e-05,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.5,68.66666666666667,0,6,3,567,206,0,benign,benign_02,train,benign_02.csv
172.30.0.11,172.30.0.10,57284,8080,6,2026-05-03 18:20:19,0.001815,425344.3526170799,4958.677685950413,3305.785123966942,1652.892561983471,6,3,566,206,220,66,94.33333333333331,56.31360601330928,74,66,68.66666666666667,3.771236166328253,220,66,85.77777777777777,47.594999218586864,2265.283950617284,120,60,20,1,0.000226875,0.001431,0.0,0.0004598286195692,0.001815,0.001454,0.0,0.000363,0.000550351887432,0.001697,0.001455,0.000242,0.0008485,0.0006064999999999,1,0,0,0,2,3,0,1,7,0,0,0.5,85.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.33333333333331,68.66666666666667,0,6,3,566,206,0,benign,benign_02,train,benign_02.csv
172.30.0.12,172.30.0.10,57086,8080,6,2026-05-03 18:20:23,0.001431,540181.6911250873,6289.308176100629,4192.87211740042,2096.4360587002097,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.771236166328253,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.000178875,0.001224,0.0,0.000395933844695,0.001431,0.001254,0.0,0.0002862,0.0004848815937937,0.0013679999999999,0.001246,0.000122,0.0006839999999999,0.000562,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.5,68.66666666666667,0,6,3,567,206,0,benign,benign_02,train,benign_02.csv
172.30.0.11,172.30.0.10,57288,8080,6,2026-05-03 18:20:24,0.000941,821466.5249734325,9564.293304994686,6376.195536663125,3188.0977683315623,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.771236166328253,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.000117625,0.000525,0.0,0.000180656398655,0.000941,0.000525,0.0,0.0001882,0.0002049472127158,0.00089,0.00056,0.00033,0.000445,0.0001149999999999,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.5,68.66666666666667,0,6,3,567,206,0,benign,benign_02,train,benign_02.csv
172.30.0.12,172.30.0.10,45820,8080,6,2026-05-03 18:20:27,0.001411,547129.6952515946,6378.454996456414,4252.303330970943,2126.1516654854718,6,3,566,206,220,66,94.33333333333331,56.31360601330928,74,66,68.66666666666667,3.771236166328253,220,66,85.77777777777777,47.594999218586864,2265.283950617284,120,60,20,1,0.000176375,0.0011,0.0,0.0003545465193384,0.001411,0.001127,0.0,0.0002822,0.000428282803764,0.001356,0.001124,0.000232,0.000678,0.000446,1,0,0,0,2,3,0,1,7,0,0,0.5,85.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.33333333333331,68.66666666666667,0,6,3,566,206,0,benign,benign_02,train,benign_02.csv
