src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,Label,Attack_Type,capture_id,usage,source_csv
172.30.0.11,172.30.0.10,49154,8080,6,2026-05-03 18:19:02,0.001403,550249.4654312189,6414.825374198147,4276.550249465431,2138.2751247327155,6,3,566,206,220,66,94.33333333333331,56.31360601330928,74,66,68.66666666666667,3.771236166328253,220,66,85.77777777777777,47.594999218586864,2265.283950617284,120,60,20,1,0.000175375,0.001198,0.0,0.0003874164224384,0.001403,0.001262,0.0,0.0002806,0.0004913783063994,0.001316,0.001217,9.9e-05,0.000658,0.0005589999999999,1,0,0,0,2,3,0,1,7,0,0,0.5,85.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.33333333333331,68.66666666666667,0,6,3,566,206,0,benign,benign_01,train,benign_01.csv
172.30.0.11,172.30.0.10,56668,8080,6,2026-05-03 18:19:06,0.001961,394186.6394696583,4589.495155532892,3059.663437021928,1529.8317185109638,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.771236166328253,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.000245125,0.001434,0.0,0.0004663334208214,0.001961,0.001467,0.0,0.0003922,0.0005563532690656,0.001882,0.001458,0.000424,0.000941,0.000517,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.5,68.66666666666667,0,6,3,567,206,0,benign,benign_01,train,benign_01.csv
172.30.0.11,172.30.0.10,56672,8080,6,2026-05-03 18:19:11,0.001888,409427.9661016949,4766.949152542373,3177.966101694916,1588.9830508474577,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.771236166328253,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.000236,0.000884,0.0,0.0003213226571532,0.001888,0.000908,0.0,0.0003775999999999,0.0003521327022586,0.0018189999999999,0.000924,0.000895,0.0009094999999999,1.4500000000000027e-05,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.5,68.66666666666667,0,6,3,567,206,0,benign,benign_01,train,benign_01.csv
172.30.0.11,172.30.0.10,56678,8080,6,2026-05-03 18:19:14,0.002063,373727.5811924381,4362.578768783325,2908.38584585555,1454.192922927775,6,3,565,206,219,66,94.16666666666669,55.94168590793651,74,66,68.66666666666667,3.771236166328253,219,66,85.66666666666667,47.28166193732572,2235.555555555555,120,60,20,1,0.000257875,0.001281,0.0,0.0004368364789884,0.002063,0.001314,0.0,0.0004126,0.0005088176883717,0.001995,0.001316,0.000679,0.0009975,0.0003184999999999,1,0,0,0,2,3,0,1,7,0,0,0.5,85.66666666666667,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.16666666666669,68.66666666666667,0,6,3,565,206,0,benign,benign_01,train,benign_01.csv
172.30.0.11,172.30.0.10,38828,8080,6,2026-05-03 18:19:20,0.040813,18940.043613554502,220.5179722147355,147.01198147649032,73.50599073824516,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.771236166328253,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.0051016249999999,0.040672,0.0,0.0134443511644993,0.0408129999999999,0.040698,0.0,0.0081625999999999,0.0162677137742216,0.040766,0.040686,8e-05,0.020383,0.020303,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.5,68.66666666666667,0,6,3,567,206,0,benign,benign_01,train,benign_01.csv
172.30.0.11,172.30.0.10,38830,8080,6,2026-05-03 18:19:23,0.002479,311012.5050423558,3630.496167809601,2420.3307785397337,1210.1653892698669,6,3,565,206,219,66,94.16666666666669,55.94168590793651,74,66,68.66666666666667,3.771236166328253,219,66,85.66666666666667,47.28166193732572,2235.555555555555,120,60,20,1,0.000309875,0.002048,0.0,0.0006637400540686,0.002479,0.002078,0.0,0.0004958,0.0007985292480554,0.002422,0.002085,0.000337,0.001211,0.000874,1,0,0,0,2,3,0,1,7,0,0,0.5,85.66666666666667,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.16666666666669,68.66666666666667,0,6,3,565,206,0,benign,benign_01,train,benign_01.csv
172.30.0.11,172.30.0.10,49734,8080,6,2026-05-03 18:19:27,0.001374,562590.9752547307,6550.218340611354,4366.812227074236,2183.406113537118,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.771236166328253,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.00017175,0.001231,0.0,0.0004007202109951,0.001374,0.001247,0.0,0.0002748,0.0004865911630927,0.001339,0.001242,9.7e-05,0.0006695,0.0005725,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.5,68.66666666666667,0,6,3,567,206,0,benign,benign_01,train,benign_01.csv
172.30.0.11,172.30.0.10,49738,8080,6,2026-05-03 18:19:30,0.001277,605324.9804228662,7047.768206734534,4698.512137823023,2349.256068911512,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.771236166328253,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.000159625,0.000537,0.0,0.0001796816194689,0.001277,0.000537,0.0,0.0002554,0.0001927159567861,0.001012,0.000657,0.000355,0.000506,0.000151,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.5,68.66666666666667,0,6,3,567,206,0,benign,benign_01,train,benign_01.csv
172.30.0.11,172.30.0.10,49744,8080,6,2026-05-03 18:19:35,0.00113,684070.796460177,7964.601769911505,5309.734513274337,2654.8672566371683,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.771236166328253,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.00014125,0.000871,0.0,0.0002776971146771,0.00113,0.000913,0.0,0.000226,0.0003455806707557,0.001004,0.000889,0.000115,0.000502,0.000387,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.5,68.66666666666667,0,6,3,567,206,0,benign,benign_01,train,benign_01.csv
172.30.0.11,172.30.0.10,50774,8080,6,2026-05-03 18:19:38,0.001208,639900.6622516556,7450.331125827814,4966.887417218542,2483.443708609271,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.771236166328253,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.000151,0.000547,0.0,0.0001963026999304,0.0012079999999999,0.000547,0.0,0.0002415999999999,0.0002157133282854,0.001026,0.000591,0.000435,0.000513,7.800000000000003e-05,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.5,68.66666666666667,0,6,3,567,206,0,benign,benign_01,train,benign_01.csv
